nzseg_v3,catchment_area,grid_area,grid_coverage
15425502,3834112.0,3834112.0,1.0
15373214,1681216.0,1681216.0,1.0
15388214,6069184.0,0.0,0.0
15383622,4497728.0,5568.94542428,0.00123817
15284820,6994112.0,0.0,0.0
15270708,3568320.0,0.0,0.0
15356973,1043904.0,896517.04999976,0.85881178
15357909,3744768.0,1895864.26179971,0.50627015
15359029,4809024.0,0.0,0.0
15290149,1128832.0,0.0,0.0
15361245,22912.0,0.0,0.0
15347445,3085824.0,0.0,0.0
15360549,283968.0,0.0,0.0
15342445,195840.0,0.0,0.0
15357821,4731200.0,0.0,0.0
15314525,1064768.0,0.0,0.0
15363301,1174656.0,0.0,0.0
15323373,2602048.0,0.0,0.0
15297252,1688576.0,1684427.252,0.99754305
15280932,3205440.0,3205440.0,1.0
15395846,1341056.0,1341056.0,1.0
15363006,2334976.0,2334976.0,1.0
15359469,5404352.0,5397401.51279998,0.99871391
15345885,3735296.0,3735296.0,1.0
15288516,6283328.0,0.0,0.0
15283620,3171072.0,193729.2959995,0.06109268
15361717,8162496.0,0.0,0.0
15284989,1099712.0,0.0,0.0
15346069,4859520.0,3310955.95900068,0.68133395
15360637,4590464.0,2023623.36100058,0.44083199
15394398,6434048.0,1151430.54899973,0.17895896
15378582,2784704.0,1719315.0488877,0.61741393
15361750,2212480.0,0.0,0.0
15378966,3989760.0,0.0,0.0
15357917,4588160.0,1320721.61119986,0.28785431
15346701,1749632.0,1236027.78031171,0.70645015
15279388,118080.0,0.0,0.0
15286500,3082816.0,0.0,0.0
15290548,7403392.0,2533846.45748732,0.3422548
15264652,1467648.0,1306093.06851195,0.88992256
15425686,524480.0,524480.0,1.0
15363262,2534080.0,2534080.0,1.0
15379310,4463808.0,0.0,0.0
15367942,4135488.0,0.0,0.0
15352373,4413056.0,264722.40879989,0.05998619
15351821,3453184.0,916602.34422322,0.26543687
15430846,7220288.0,7220288.0,1.0
15298198,562688.0,562688.0,1.0
15355125,6978304.0,0.0,0.0
15265781,268544.0,0.0,0.0
15292052,1216192.0,0.0,0.0
15250236,1328640.0,0.0,0.0
15349509,55168.0,55168.0,1.0
15334765,2340224.0,423176.59262408,0.18082739
15383310,574464.0,574464.0,1.0
15337606,1198592.0,1198592.0,1.0
15347701,3881024.0,0.0,0.0
15349045,3404224.0,0.0,0.0
15366485,5201728.0,3776158.25339996,0.72594304
15328109,1992320.0,1992320.0,1.0
15436686,4426240.0,4426240.0,1.0
15420278,2640896.0,2640896.0,1.0
15310740,3836928.0,3805975.35939996,0.99193296
15269844,3193024.0,3054974.27703939,0.95676521
15302685,4143616.0,2772084.6084876,0.66900133
15395869,2812608.0,1906042.39999932,0.67767794
15424494,2618816.0,2618816.0,1.0
15326390,453568.0,453568.0,1.0
15354117,5301312.0,0.0,0.0
15274277,1206976.0,0.0,0.0
15290028,3712768.0,3712768.0,1.0
15285708,3047040.0,3047040.0,1.0
15365381,5697792.0,4484456.25400057,0.78705159
15282709,986496.0,986496.0,1.0
15338669,172480.0,38.87191215,0.00022537
15329197,2269056.0,0.0,0.0
15339157,3272576.0,0.0,0.0
15354613,3063296.0,0.0,0.0
15338821,3506048.0,0.0,0.0
15333309,2803904.0,0.0,0.0
15350965,4320128.0,0.0,0.0
15328893,1991488.0,123463.8071763,0.06199576
15384934,1060352.0,1060352.0,1.0
15299078,585728.0,585728.0,1.0
15421934,1576576.0,1576576.0,1.0
15274862,311488.0,311488.0,1.0
15276276,3284096.0,0.0,0.0
15249844,2398592.0,0.0,0.0
15136612,253248.0,0.0,0.0
15374150,4306304.0,0.0,0.0
15353822,1723520.0,0.0,0.0
15425846,1099776.0,1099776.0,1.0
15344934,2557952.0,2557952.0,1.0
15271068,3093952.0,0.0,0.0
15264780,2757824.0,0.0,0.0
15280516,2752832.0,1411665.04599934,0.51280465
15260220,2700544.0,694977.14099968,0.25734709
