basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
4608768,4609000,57,15375381,54,15423798,-45.969,-46.043,168.079,168.109,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0083,0.024,3.13,1022,,,
38720,814359000,58,15386709,56,15387125,-46.033,-46.036,168.113,168.114,2,60,61,-999,-999,-999,-999,-999,-999,-999,-999,15386573,15347629,-999,-999,-999,-999,-999,-999,-999,-999,0.0108,0.024,45.7,366,,,
2726144,2726000,59,15361669,56,15387125,-45.994,-46.036,168.13,168.114,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0041,0.024,2.39,4048,,,
1797440,811203000,60,15386573,58,15386709,-46.021,-46.033,168.116,168.113,2,62,63,-999,-999,-999,-999,-999,-999,-999,-999,15386141,15316893,-999,-999,-999,-999,-999,-999,-999,-999,0.0054,0.024,45.61,1541,,,
3117184,3117000,61,15347629,58,15386709,-45.999,-46.033,168.091,168.113,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0049,0.024,2.56,2523,,,
1543424,808461000,62,15386141,60,15386573,-46.002,-46.021,168.117,168.116,2,64,65,-999,-999,-999,-999,-999,-999,-999,-999,15384685,15373877,-999,-999,-999,-999,-999,-999,-999,-999,0.0039,0.024,45.53,2541,,,
944192,944000,63,15316893,60,15386573,-46.006,-46.021,168.11,168.116,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0048,0.024,1.38,389,,,
252992,795866000,64,15384685,62,15386141,-46,-46.002,168.121,168.117,2,66,67,-999,-999,-999,-999,-999,-999,-999,-999,15383685,15292293,-999,-999,-999,-999,-999,-999,-999,-999,0.003,0.024,45.16,473,,,
1912448,11052000,65,15373877,62,15386141,-45.979,-46.002,168.109,168.117,2,385,386,-999,-999,-999,-999,-999,-999,-999,-999,15359469,15345885,-999,-999,-999,-999,-999,-999,-999,-999,0.0049,0.024,4.93,3589,,,
536448,794487000,66,15383685,64,15384685,-45.987,-46,168.123,168.121,2,68,69,-999,-999,-999,-999,-999,-999,-999,-999,15378493,15383253,-999,-999,-999,-999,-999,-999,-999,-999,0.004,0.024,45.12,1764,,,
1125568,1126000,67,15292293,64,15384685,-45.984,-46,168.111,168.121,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0085,0.024,1.51,987,,,
3454080,758388000,68,15378493,66,15383685,-45.963,-45.987,168.113,168.123,2,70,71,-999,-999,-999,-999,-999,-999,-999,-999,15346805,15367533,-999,-999,-999,-999,-999,-999,-999,-999,0.0064,0.024,44.05,3088,,,
